risk_budget,baseline,mean_gated_utility_diff,ci95_gated_utility_diff,paired_seed_wins
0.050000,cbf_safety_shield,0.061212,0.005943,10
0.050000,conformal_visual_abstention,0.061212,0.005943,10
0.050000,ensemble_risk_gate,0.061212,0.005943,10
0.050000,foundation_policy_only,0.061212,0.005943,10
0.050000,oracle_visual_servo_foundation_arbiter,-0.274833,0.008667,0
0.050000,proposed_servo_foundation_arbiter_v4,0.060565,0.005341,10
0.050000,robust_mpc_handoff,0.061212,0.005943,10
0.100000,cbf_safety_shield,0.953544,0.005447,10
0.100000,conformal_visual_abstention,0.902802,0.006363,10
0.100000,ensemble_risk_gate,0.890749,0.005952,10
0.100000,foundation_policy_only,0.972735,0.005254,10
0.100000,oracle_visual_servo_foundation_arbiter,-0.218065,0.005505,0
0.100000,proposed_servo_foundation_arbiter_v4,0.321898,0.012797,10
0.100000,robust_mpc_handoff,0.837254,0.006830,10
0.150000,cbf_safety_shield,0.467106,0.003569,10
0.150000,conformal_visual_abstention,0.344151,0.003069,10
0.150000,ensemble_risk_gate,0.356500,0.002523,10
0.150000,foundation_policy_only,1.025272,0.000276,10
0.150000,oracle_visual_servo_foundation_arbiter,-0.167865,0.000392,0
0.150000,proposed_servo_foundation_arbiter_v4,0.122894,0.000622,10
0.150000,robust_mpc_handoff,0.321737,0.001912,10
0.200000,cbf_safety_shield,0.397858,0.000557,10
0.200000,conformal_visual_abstention,0.310596,0.000612,10
0.200000,ensemble_risk_gate,0.330065,0.000401,10
0.200000,foundation_policy_only,1.025659,0.000401,10
0.200000,oracle_visual_servo_foundation_arbiter,-0.168073,0.000668,0
0.200000,proposed_servo_foundation_arbiter_v4,0.123783,0.000672,10
0.200000,robust_mpc_handoff,0.306608,0.000499,10
